ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,target
15689,280000,M,bachelor,single,30,1
12704,50000,F,bachelor,single,22,1
22068,50000,F,master,single,26,1
1472,20000,M,bachelor,single,21,1
5739,20000,M,school graduate,single,23,1
18136,10000,M,school graduate,single,46,1
26353,300000,F,bachelor,single,30,1
21005,80000,M,bachelor,single,32,1
24039,70000,M,school graduate,single,27,1
11720,70000,F,master,single,29,1
25183,10000,F,bachelor,single,21,1
20372,20000,M,school graduate,single,23,1
9081,170000,F,master,single,32,1
17140,50000,F,school graduate,single,25,1
13740,40000,M,school graduate,single,43,1
18350,50000,F,school graduate,single,23,1
12569,200000,F,master,single,40,1
15856,150000,F,bachelor,single,25,1
16567,20000,M,bachelor,single,29,1
21459,130000,F,bachelor,single,29,1
26606,20000,M,bachelor,single,23,1
3695,80000,M,bachelor,single,27,1
29492,320000,M,master,single,31,1
27160,100000,M,school graduate,single,30,1
2924,130000,M,bachelor,single,26,1
25159,30000,F,bachelor,single,22,1
27964,50000,F,school graduate,single,28,1
25575,30000,F,master,single,36,1
7453,350000,F,master,single,32,1
27737,20000,F,master,single,22,1
28638,350000,F,master,single,44,1
6003,90000,F,bachelor,single,30,1
7481,110000,M,bachelor,single,28,1
15769,50000,F,school graduate,single,23,1
8667,230000,F,master,single,31,1
15773,30000,F,school graduate,single,24,1
3597,80000,M,bachelor,single,27,1
27193,250000,M,master,single,32,1
3400,50000,M,school graduate,single,22,1
21534,30000,F,school graduate,single,23,1
15155,30000,F,bachelor,single,21,1
10633,50000,M,master,single,26,1
27218,10000,M,school graduate,single,42,1
24760,220000,M,master,single,35,1
7651,200000,M,school graduate,single,36,1
26867,390000,M,master,single,37,1
753,50000,M,bachelor,single,26,1
5715,310000,F,master,single,27,1
3812,130000,M,bachelor,single,28,1
979,180000,M,bachelor,single,26,1
11031,20000,M,bachelor,single,24,1
25705,260000,F,master,single,29,1
25444,300000,F,master,single,28,1
7759,220000,M,master,single,32,1
10908,150000,M,master,single,30,1
7330,140000,F,master,single,24,1
26583,110000,M,bachelor,single,22,1
15180,90000,F,bachelor,single,28,1
6894,370000,F,bachelor,single,29,1
7529,240000,F,master,single,26,1
23187,360000,F,master,single,39,1
27959,20000,F,master,single,28,1
1269,120000,M,bachelor,single,37,1
18869,320000,F,bachelor,single,28,1
22773,200000,F,bachelor,single,29,1
26521,60000,F,bachelor,single,57,1
10707,30000,M,bachelor,single,24,1
16047,10000,F,bachelor,single,40,1
25630,70000,F,bachelor,single,30,1
17282,20000,F,school graduate,single,39,1
17053,70000,F,school graduate,single,25,1
29026,90000,F,master,single,28,1
28996,100000,F,bachelor,single,40,1
29211,20000,M,bachelor,single,22,1
25192,50000,F,master,single,23,1
4579,40000,F,bachelor,single,23,1
25454,140000,F,master,single,28,1
24685,50000,M,master,single,34,1
21428,110000,F,master,single,24,1
25388,240000,F,school graduate,single,28,1
11430,380000,M,master,single,33,1
5980,70000,F,master,single,24,1
19251,400000,F,bachelor,single,30,1
5754,330000,F,bachelor,single,30,1
18701,70000,F,master,single,25,1
12909,120000,M,school graduate,single,37,1
20978,30000,M,bachelor,single,44,1
16941,180000,M,master,single,51,1
10136,40000,F,master,single,24,1
432,390000,F,master,single,27,1
414,230000,F,bachelor,single,27,1
4770,100000,F,master,single,29,1
2558,200000,F,master,single,28,1
6985,20000,M,school graduate,single,43,1
116,30000,M,master,single,24,1
17204,50000,F,bachelor,single,29,1
1252,200000,F,master,single,29,1
25443,120000,F,master,single,28,1
4555,160000,M,master,single,48,1
11297,60000,F,bachelor,single,29,1
26588,70000,M,master,single,28,1
20164,50000,F,bachelor,single,42,1
14615,10000,M,school graduate,single,29,1
10757,50000,M,bachelor,single,22,1
20498,20000,M,bachelor,single,24,1
3805,30000,M,bachelor,single,25,1
23402,20000,F,bachelor,single,46,1
7847,30000,M,bachelor,single,24,1
16615,200000,M,bachelor,single,29,1
8007,80000,F,bachelor,single,27,1
1236,30000,M,bachelor,single,54,1
14435,10000,M,bachelor,single,32,1
673,100000,F,master,single,28,1
3590,70000,F,bachelor,single,26,1
16518,40000,M,bachelor,single,24,1
440,80000,F,master,single,23,1
6969,50000,M,bachelor,single,25,1
17897,40000,M,bachelor,single,27,1
29215,20000,M,master,single,24,1
22102,50000,F,school graduate,single,28,1
25378,230000,F,bachelor,single,30,1
7822,20000,M,bachelor,single,48,1
3414,150000,M,master,single,33,1
12031,50000,M,bachelor,single,37,1
18189,50000,M,bachelor,single,48,1
18386,30000,F,school graduate,single,23,1
25744,240000,F,master,single,31,1
22700,20000,F,master,single,46,1
20808,50000,M,bachelor,single,49,1
26890,130000,M,bachelor,single,33,1
26785,160000,M,bachelor,single,26,1
25036,10000,M,school graduate,single,61,1
18824,210000,F,bachelor,single,27,1
5180,200000,M,bachelor,single,27,1
27214,100000,M,master,single,27,1
13400,80000,F,school graduate,single,26,1
23875,90000,M,bachelor,single,27,1
14561,160000,M,master,single,31,1
16839,30000,M,bachelor,single,43,1
28230,400000,F,bachelor,single,35,1
26737,80000,M,bachelor,single,27,1
5317,50000,F,master,single,26,1
6510,50000,M,bachelor,single,25,1
14408,30000,F,master,single,23,1
17361,150000,F,bachelor,single,36,1
17907,60000,M,bachelor,single,28,1
21103,200000,M,bachelor,single,40,1
16872,30000,M,school graduate,single,31,1
28807,390000,F,master,single,41,1
995,290000,F,master,single,29,1
22120,430000,F,bachelor,single,29,1
14885,40000,M,master,single,25,1
16516,60000,M,bachelor,single,24,1
8930,10000,M,bachelor,single,29,1
16814,20000,M,master,single,38,1
3248,120000,F,bachelor,single,28,1
4078,50000,M,bachelor,single,29,1
29643,110000,M,master,single,29,1
5350,80000,F,master,single,23,1
12588,10000,M,bachelor,single,27,1
16542,50000,M,bachelor,single,27,1
1302,10000,F,school graduate,single,22,1
26686,60000,M,bachelor,single,25,1
21601,50000,F,bachelor,single,23,1
23967,20000,M,bachelor,single,25,1
6927,60000,F,bachelor,single,24,1
25467,360000,F,bachelor,single,28,1
16553,130000,M,bachelor,single,25,1
8668,10000,F,bachelor,single,44,1
28403,80000,F,master,single,27,1
22503,50000,F,bachelor,single,44,1
3885,20000,M,bachelor,single,24,1
19286,160000,F,bachelor,single,32,1
8369,50000,M,bachelor,single,27,1
21640,50000,F,master,single,24,1
1467,140000,F,master,single,23,1
12832,20000,M,bachelor,single,24,1
14504,50000,F,bachelor,single,23,1
20672,150000,M,bachelor,single,32,1
11985,470000,F,master,single,30,1
25319,140000,F,master,single,27,1
3299,230000,F,bachelor,single,26,1
10572,100000,F,school graduate,single,41,1
16789,30000,M,bachelor,single,37,1
23157,30000,F,school graduate,single,38,1
29248,70000,M,school graduate,single,25,1
17060,60000,F,bachelor,single,23,1
5382,50000,M,master,single,24,1
9708,150000,M,bachelor,single,49,1
21945,120000,F,bachelor,single,27,1
29909,140000,M,master,single,29,1
17517,90000,F,bachelor,single,32,1
7701,130000,M,master,single,33,1
5534,290000,M,master,single,35,1
18360,50000,F,bachelor,single,22,1
7375,180000,M,bachelor,single,38,1
27613,50000,F,bachelor,single,25,1
29237,20000,M,bachelor,single,23,1
17668,100000,F,bachelor,single,30,1
7251,160000,F,bachelor,single,23,1
16635,30000,M,bachelor,single,34,1
27684,30000,F,bachelor,single,22,1
6177,30000,M,school graduate,single,28,1
2364,220000,M,master,single,34,1
19233,30000,F,school graduate,single,42,1
9152,440000,M,master,single,33,1
